[2018-04-17 19:23:20,085]:  25  INFO    Get system locale is done: ru       Greeting.GetGreeting.getLocale(Greeting.GetGreeting.java:31)
[2018-04-17 19:23:20,147]:  87  INFO    Get res is done: ru                 Greeting.GetGreeting.getRes(Greeting.GetGreeting.java:59)
[2018-04-17 19:23:20,149]:  89  INFO    Encoding is done                    Greeting.GetGreeting.encode(Greeting.GetGreeting.java:65)
[2018-04-17 19:23:20,150]:  90  INFO    ended                               Town.main(Town.java:17)
[2018-04-17 19:23:20,151]:  91  INFO    --------------------------          Town.main(Town.java:18)
[2018-04-17 19:23:37,001]:   0  INFO    started                             Town.main(Town.java:9)
[2018-04-17 19:23:37,016]:  15  INFO    Submited two arguments              Greeting.GetGreetingWhisTwoArgs.getGreeting(Greeting.GetGreetingWhisTwoArgs.java:11)
[2018-04-17 19:23:37,018]:  17  INFO    Get time is done: 3                 Greeting.GetGreeting.getHour(Greeting.GetGreeting.java:53)
[2018-04-17 19:23:37,018]:  17  INFO    Town = Los_Angeles; Time = 3        Greeting.GetGreetingWhisTwoArgs.getGreeting(Greeting.GetGreetingWhisTwoArgs.java:16)
[2018-04-17 19:23:37,019]:  18  INFO    Get system locale is done: ru       Greeting.GetGreeting.getLocale(Greeting.GetGreeting.java:31)
[2018-04-17 19:23:37,069]:  68  INFO    Get res is done: ru                 Greeting.GetGreeting.getRes(Greeting.GetGreeting.java:59)
[2018-04-17 19:23:37,071]:  70  INFO    Encoding is done                    Greeting.GetGreeting.encode(Greeting.GetGreeting.java:65)
[2018-04-17 19:23:37,072]:  71  INFO    ended                               Town.main(Town.java:17)
[2018-04-17 19:23:37,073]:  72  INFO    --------------------------------    Town.main(Town.java:18)
[2018-04-18 02:09:01,277]:   1  INFO    started                             Town.main(Town.java:11)
[2018-04-18 02:09:01,316]:  40  INFO    Submited two arguments              Greeting.GetGreetingWhisTwoArgs.getGreeting(Greeting.GetGreetingWhisTwoArgs.java:11)
[2018-04-18 02:09:01,317]:  41  INFO    Get time is done: 10                Greeting.GetGreeting.getHour(Greeting.GetGreeting.java:53)
[2018-04-18 02:09:01,318]:  42  INFO    Town = Los_Angeles; Time = 10       Greeting.GetGreetingWhisTwoArgs.getGreeting(Greeting.GetGreetingWhisTwoArgs.java:16)
[2018-04-18 02:09:01,318]:  42  INFO    Get system locale is done: ru       Greeting.GetGreeting.getLocale(Greeting.GetGreeting.java:31)
[2018-04-18 02:09:01,363]:  87  INFO    Get res is done: ru                 Greeting.GetGreeting.getRes(Greeting.GetGreeting.java:59)
[2018-04-18 02:09:01,366]:  90  INFO    Encoding is done                    Greeting.GetGreeting.encode(Greeting.GetGreeting.java:65)
[2018-04-18 02:09:01,367]:  91  INFO    ended                               Town.main(Town.java:23)
[2018-04-18 02:09:01,367]:  91  INFO    --------------------------------    Town.main(Town.java:24)
[2018-04-18 02:24:50,319]:   0  INFO    started                             Town.main(Town.java:11)
[2018-04-18 02:24:50,335]:  16  INFO    Submited two arguments              Greeting.GetGreetingWhisTwoArgs.getGreeting(Greeting.GetGreetingWhisTwoArgs.java:11)
[2018-04-18 02:24:50,337]:  18  INFO    Get time is done: 10                Greeting.GetGreeting.getHour(Greeting.GetGreeting.java:53)
[2018-04-18 02:24:50,337]:  18  INFO    Town = Los_Angeles; Time = 10       Greeting.GetGreetingWhisTwoArgs.getGreeting(Greeting.GetGreetingWhisTwoArgs.java:16)
